MATNR,MAKTX,MEINS,WERKS,MAP,LABST
GAIL001942,FINOLEX - CABLE - POWER - 2C X 120.0 SMQM - ALUMINIUM - XLPE - 1100V - 70 C - FIN-PW00511,PC,VIJAIPUR,4403.75,337
GAIL002375,NTN - BEAIRNG - BALL - 6019 - OPEN - 3040 KG - 150 C,PC,VIJAIPUR,3025.31,769
GAIL002013,THERMO - CHEMICAL - SODIUM CHLORIDE - LR GRADE - 40 PCT,PC,PATA,1466.25,18
GAIL000676,FLEXITALLIC - GASKET - SPIRAL WOUND - 100NB - CLASS 300 - SS316-PTFE - 7.5MM THK - 550 C - FLE-SW01702,PC,PATA,342.84,622
GAIL000721,GARLOCK - GASKET - SPIRAL WOUND - 32NB - CLASS 900 - SS316-GRAPHITE - 6.0MM THK - 650 C - GAR-SW02285 - GTIN 8903425393462,PC,VIJAIPUR,222.36,347
GAIL001753,MSL - PIPE - SEAMLESS - 50NB - SCH20 - CS-A106B - 100.0 BAR - GTIN 8903060783963,PC,PATA,818.32,375
GAIL002695,KOYO - BEARING - BALL - 95MM BORE - 200MM OD - 45MM W - OPEN - 1900 KG - 100 C,PC,PATA,4182.10,113
GAIL001665,CHAMPION - GASKET - SPIRAL WUND - 32NB - CLASS 900 - SS316-GRAPHITE - 7.5MM THK - 650 C - CHA-SW02509,PC,VIJAIPUR,111.46,622
GAIL001214,TVS - BOLT - HEX - M24X3.0 - 100MM LG - GRADE 12.9 - SS316 - HDG - TVSHB00734,PC,PATA,97.73,639
GAIL001713,TVS - BOLT - HEX - M30X3.5 - 120MM LG - GRADE 4.6 - SS316 - HDG,PC,VIJAIPUR,246.12,275
GAIL001364,AHVELLS - CABLE - POWER - 4C X 50.0 SQMM - ALUMINIUM - XLPE - 1100V - 90 C - BARCODE 8904839380635,PC,VIJAIPUR,3162.12,746
GAIL000349,JINDAL - PIPE - SEAMLESS - 300NB - XS - SS316 - 60.0 BAR - JIN-SP00699 - 8906226395307,PC,PATA,6889.60,384
GAIL002846,FINOLEX - केबल - POWER - 3C X 70.0 SQMM - COPPER - PVC - 3300V - 70 C,PC,VIJAIPUR,2359.03,89
GAIL002517,"FLEXITALLIC - GASKET - SPIRAL WOUND - 125NB - CLASS 150 - CAF - 3.0MM THK - 650 C - GTIN 8907342899359, BOX OF 10",BOX,PATA,10987.80,528
GAIL000224,HONEYWELL - HELMET - SAFETY - CLASS B - ABS - PINLOCK - 4-POINT - NON-VENTED - PEAK - EN397 - WHITE,PC,VIJAIPUR,971.11,54
GAIL002447,FLOWSERVE - VVALVE - GATE - 20NB - CLASS 900 - CI - FLANGED - 153.2 BAR - 400 C,PC,PATA,24252.14,273
GAIL001859,3M - HELMET - SAFETY - CLASS E - FRP - PINLOCK - 4-POINT - VENTED - FULL BRIM - IS2925 - WHITE,PC,VIJAIPUR,796.93,562
GAIL001840,FINOLEX - CABLE - POWER - 2C X 10.0 SQMM - ALUMINIUM - PVC - 3300V - 70 C,PC,VIJAIPUR,200.02,195
GAIL001741,FLOWSERVE - VALE - GATE - 50NB - CLASS 900 - WCB - FLANGED - 153.2 BAR - 200 C - FLO-GV01167 - EAN 8906292891727,PC,VIJAIPUR,45715.50,366
GAIL001301,3M - HELMET - SAFETY - CLASS A - ABS - PINLOCK - 4-POINT - NON-VENTED - FULL BRIM - EN397 - YELLOW,PC,PATA,652.35,122
GAIL001094,NTN - BEARING - BALL - 45MM BORE - 100MM OD - 25MM W - ZZ - 900 KG - 100 C - 6309ZZ/S100,PC,VIJAIPUR,1031.04,458
GAIL002561,LT - VALVE - GATE - 300NB - CLASS 150 - CI - FLANGED - 19.6 BAR - 150 C,PC,PATA,44413.40,113
GAIL001423,THERMO - CHEMICAL - PHOSPHORIC ACID - TECH GRADE - 30 PCT,PC,PATA,3488.46,661
GAIL002385,BDK - VALVE - GATE - 32NB - CLASS 600 - CS - BUTTWELD - 102.1 BAR - 200 C,PC,VIJAIPUR,21644.12,126
GAIL002452,SUNDRAM - BOLT - HEX - M12X1.75 - 30MM LG - GRADE 4.6 - SS316 - HDG - SUN-HB00403 - EAN 8908216324632,PC,PATA,13.35,569
GAIL000441,HONEYWELL - HELMET - SAFETY - CLASS A - ABS - RATCHET - 2-POINT - VENTED - FULL BRIM - IS2925 - WHITE - HON-HL00008,PC,PATA,377.32,463
GAIL000031,TVS - BOLT - HEX - M30X3.5 - 30MM LG - GRADE 4.6 - SS304 - PLAIN - TVS-HB00791,PC,PATA,37.35,390
GAIL000685,VENUS - HELMET - SAFETY - CLASS C - FRP - RATCHET - 2-POINT - NON-VENTED - FULL BRIM - EN397 - WHITE - VEN-HL00118,PC,VIJAIPUR,736.23,448
GAIL002671,MERCK - CHEMICAL - METHANOL - TECH GRADE - 20 PCT - BARCODE 8900692534079,PC,VIJAIPUR,510.06,710
GAIL002073,JINDAL - PIPE - SEAMLESS - 125NB - SCH160 - SS316 - 20.0 BAR,PC,PATA,1180.84,763
GAIL000909,TATA - PIPE - SEAMLESS - 150NB - XS - CS-A53 - 40.0 BAR,PC,PATA,2428.25,414
GAIL001996,MERCK - CHEMICAL - SODIUM CARBONATE - TECH GRADE - 30 PCT - MER-CH00272 - BARCODE 8900357513968,PC,PATA,3230.57,500
GAIL001438,TIMKEN - BEARING - BALL - 75MM BORE - 160MM OD - 37MM W - OPEN - 1500 KG - 100 C - 6315/S100,PC,PATA,3396.63,189
GAIL000645,CHAMPION - GASKET - SPIRAL WOUND - 15NB - CLASS 300 - CAF - 6.0MM THK - 450 C - CHA-SW00630,PC,VIJAIPUR,95.46,27
GAIL002592,FAG - BEARING - BALL - 55MM BORE - 100MM OD - 21MM W - 2RS - 1100 KG - 150 C - 6211-2RS//S150,PC,VIJAIPUR,2435.29,300
GAIL002148,KARAM - HELMET - SAFETY - CLASS A - FRP - PINLOCK - 4-POINT - NON-VENTED - FULL BRIM - EN397 - RED - KAR-HL00188,PC,PATA,290.76,382
GAIL000536,ISMT - PIPE - SEAMLESS - 100NB - SCH80 - CS-A106B - 60.0 BAR - ISM-SP00596,PC,VIJAIPUR,977.01,422
GAIL000138,KEI - CABLE - POWER - 2C X 10.0 SQMM - COPPER - PVC - 650V - 90 C - KEI-PW01061,PC,PATA,343.74,557
GAIL000545,FAG - BEARING - BALL - 6020 - ZZ - 2000 KG - 100 C - 6020-2Z/S100,PC,VIJAIPUR,2353.71,374
GAIL002421,MSL - PIPE - SEAMLESS - 65NB - XS - CS-A53 - 160.0 BAR - MSL-SP01392,PC,VIJAIPUR,1278.16,380
GAIL000538,"FLEXITALLIC - GASKET - SPIRAL WOUND - 40NB - CLASS 900 - CAF - 4.5MM THK - 650 C, BOX OF 50",BOX,VIJAIPUR,10827.50,271
GAIL002505,HONEYWELL - HELMET - SAFETY - CLASS C - HDPE - RATCHET - 4-POINT - VENTED - FULL BRIM - IS2925 - YELLOW - HON-H00050,PC,VIJAIPUR,277.96,165
GAIL001583,CHAMPION - GASKET - SPIRAL WOUND - 40NB - CLASS 600 - CAF - 7.5MM THK - 550 C,PC,PATA,308.21,216
GAIL001345,KEI - CABLE - POWER - 1C X 4.0 SQMM - ALUMINIUM - XLPE - 650V - 70 C,PC,PATA,43.55,235
GAIL002647,HAVELLS - CABLE - POWER - 5C X 10.0 SQMM - ALUMINIUM - XLPE - 1100V - 90 C,PC,PATA,933.58,606
GAIL001089,APL - BOLT - HEX - M8X1.25 - 120MM LG - GRADE 12.9 - SS304 - HDG - APL-HB01121,PC,PATA,53.67,388
GAIL000051,FLOWSERVE - वाल्व - GATE - 300NB - CLASS 150 - WCB - BUTTWELD - 19.6 BAR - 150 C - FLO-GV00573 - EAN 8903411636429,PC,VIJAIPUR,46764.71,613
GAIL001035,MECRK - CHEMICAL - SODIUM CHLORIDE - TECH GRADE - 85 PCT - MERCH00655,PC,VIJAIPUR,2860.29,214
GAIL000227,TIMKEN - BERING - BALL - 17MM BORE - 47MM OD - 14MM W - OPEN - 560 KG - 100 C - BARCODE 8902780395906,PC,PATA,463.88,105
GAIL001117,MSL - PIPE - SEAMLESS - 80NB - SCH40 - SS316 - 60.0 BAR - MSL-SP00651,PC,PATA,851.38,328
GAIL002634,FISHER - CHEMICAL - ACETONE - GR GRADE - 20 PCT - FIS-CH00157,PC,PATA,942.40,60
GAIL000170,THERMO - CHEMICAL - POTASSIUM HYDROXIDE - GR GRRADE - 30 PCT - THE-CH00249,PC,PATA,3236.95,360
GAIL001302,BDK - VALVE - GATE - 50NB - CLASS 900 - CS - SOCKETWELD - 153.2 BAR - 150 C,PC,PATA,55487.34,40
GAIL001228,MERCK - CHEMICAL - HYDROGEN PEROXIDE - GR GRADE - 20 PCT,PC,PATA,3747.79,423
GAIL002182,KOYO - BEARING - BALL - 17MM BORE - 40MM OD - 12MM W - OPEN - 840 KG - 120 C,PC,PATA,481.57,80
GAIL000975,NSK - BEARING - BALL - 10MM BORE - 35MM OD - 11MM W - OPEN - 480 KG - 120 C - 6300/X120,PC,PATA,239.44,28
GAIL002010,TVS - BOLT - HEX - M6X1.0 - 20MM LG - GRADE 10.9 - SS316 - ZINC,PC,PATA,5.68,238
GAIL002031,KITZ - VALVE - GATE - 2250NB - CLASS 300 - CS - THREADED - 51.1 BAR - 250 C,PC,VIJAIPUR,73236.80,665
GAIL000661,"RANKEM - CHEMICAL - CALCIUM CHLORIDE - AR GRADE - 30 PCT - RAN-CH00222, BOX OF 10",BOX,VIJAIPUR,24994.30,106
GAIL001115,LEADER - GASKET - SPIRAL WOUND - 100NB - CLASS 300 - SS316-GRAPHITE - 6.0MM THK - 650 C,PC,PATA,422.19,699
GAIL000380,RANKEM - CHEMICAL - PHOSPHORIC ACID - GR GRADE - 50 PCT - RAN-CH00436,PC,PATA,1964.70,305
GAIL001374,FLOWSERVE - VAVLE - GATE - 15NB - CLASS 150 - SS316 - SOCKETWELD - 19.6 BAR - 400 C - FLO-GV04312,PC,PATA,2206.44,87
GAIL000071,"3M - HELMET - SAFETY - CLASS A - HDPE - PINLOCK - 2-POINT - VENTED - PEAK - EN397 - BLUE - 3M-HL00220 - 8901113525287, BOX OF 25",BOX,PATA,5147.00,63
GAIL000340,FAG - BEARING - BALL - 85MM BORE - 150MM OD - 28MM W - ZZ - 2720 KG - 150 C - 6217-2ZR/H150 - GTIN 8905095590714,PC,PATA,3905.62,731
GAIL001105,TVS - BOLT - HEX - M20X2.5 - 100MM LG - GRADE 12.9 - CS - PLAIN,PC,PATA,188.39,137
GAIL000692,HAVELLS - CABLE - POWER - 4C X 2.5 SQMM - ALUMINIUM - PVC - 3300V - 90 C,PC,PATA,179.54,740
GAIL000266,SUNDRAM - BOLT - HEX - M20X2.5 - 100MM LG - GRADE 4.6 - SS304 - PLAIN,PC,VIJAIPUR,140.00,449
GAIL001403,"THERMO - CHEMICAL - BORIC ACID - TECH GRADE - 85 PCT - THE-CH00671, BOX OF 25",BOX,VIJAIPUR,64948.00,185
GAIL001418,AUCDO - VALVE - GATE - 100NB - CLASS 600 - CI - THREADED - 102.1 BAR - 400 C,PC,VIJAIPUR,103448.58,159
GAIL001389,KSB - VALVE - GATE - 50NB - CLASS 900 - WCB - BUTTWELD - 157.8 BAR - 250 C - KSB-GV02847,PC,PATA,68771.54,618
GAIL001428,FINOLEX - CABLE - POWER - 1C X 6.0 SQMM - ALUMINIUM - PVC - 1100V - 70 C - FIN-PW00340,PC,VIJAIPUR,147.94,730
GAIL002738,KARAM - HELMET - SAFETY - CLASS E - ABS - PINLOCK - 4-POINT - VENTED - FULL BRIM - EN397 - YELLOW - KAR-HL00087,PC,VIJAIPUR,243.04,417
GAIL001012,TATA - PIPE - SEAMLESS - 50NB - SCH80 - SS316 - 40.0 BAR - TAT-SP00383 - BARCODE 8900009806479,PC,PATA,590.68,545
GAIL002424,FLOWSERVE - VALVE - GATE - 40NB - CLASS 150 - SS304 - BUTTWELD - 19.6 BAR - 200 C,PC,VIJAIPUR,5125.76,464
GAIL001720,HONEYWELL - HELMET - SAFETY - CLASS B - FRP - RATCHET - 4-POINT - NON-VENTED - FULL BRIM - EN397 - ORANGE - HON-HL00165,PC,VIJAIPUR,754.55,106
GAIL001575,FLEXITALLIC - GASKET - SPIRAL WOUND - 15NB - CLASS 600 - SS316-GRAPHITE - 7.5MM THK - 650 C,PC,PATA,94.76,320
GAIL000160,KEI - CABE - POWER - 4C X 25.0 SQMM - ALUMINIUM - PVC - 1100V - 70 C - KEI-PW00358,PC,VIJAIPUR,1341.65,327
GAIL002616,LT - वाल्व - GATE - 80NB - CLASS 900 - SS316 - THREADED - 153.2 BAR - 250 C,PC,VIJAIPUR,70823.94,89
GAIL000576,ISMT - PIPE - SEAMLESS - 40NB - SCH80 - SS316 - 160.0 BAR - ISM-SP01222,PC,PATA,438.52,747
GAIL000848,SUNDRAM - BOLT - HEX - M10X1.5 - 80MM LG - GRADE 8.8 - SS304 - HDG,PC,PATA,17.45,632
GAIL001921,HONEYWELL - HELMET - SAFETY - CLASS C - HDPE - RATCHET - 2-POINT - VENTED - FULL BRIM - EN397 - BLUE - HON-HL00006,PC,VIJAIPUR,709.81,450
GAIL000246,JINDAL - PIPE - SEAMLESS - 20NB - XS - SS316 - 20.0 BAR - JIN-SP00127 - GTIN 8903822827522,PC,PATA,320.95,362
GAIL001443,KSB - VALVE - GATE - 100NB - CLASS 150 - CI - BUTTWELD - 19.6 BAR - 200 C,PC,VIJAIPUR,22991.95,356
GAIL002247,FLEXITALLIC - GASKET - SPIRAL WOUND - 100NB - CLASS 300 - SS304-PTFE - 6.0MM THK - 550 C - FLE-SW01422,PC,VIJAIPUR,323.70,495
GAIL002743,NTN - BEARING - BALL - 6281 - ZZ - 1800 KG - 120 C - 6218ZZ - EAN 8906267746533,PC,VIJAIPUR,1811.82,550
GAIL001624,THERMO - CHEMICAL - CITRIC ACID - LR GRADE - 99 PCT - THE-CH00693,PC,VIJAIPUR,2176.71,469
GAIL001577,LEADER - GASKET - SPIRAL WOUND - 300NB - CLASS 300 - SS304-PTFE - 3.0MM THK - 650 C - GTIN 8902302242336,PC,VIJAIPUR,1794.34,324
GAIL000106,BDK - VALVE - GATE - 15NB - CLASS 600 - CS - FLANGED - 102.1 BAR - 200 C - BDK-GV01204 - EAN 8907054434701,PC,PATA,10160.03,300
GAIL000656,LEADER - GASKET - SPIRAL WOUND - 150NB - CLASS 300 - SS304-PTFE - 3.0MM THK - 650 C - LEA-SW01872,PC,VIJAIPUR,1208.48,740
GAIL000408,VENUS - HELMET - SAFETY - CLASS E - HDPE - RATCHET - 2-POINT - VENTED - FULL RBIM - EN397 - YELLOW,PC,VIJAIPUR,530.24,312
GAIL001269,NSK - बेयरिंग - BALL - 55MM BORE - 90MM OD - 18MM W - 2RS - 1760 KG - 150 C - 6011-2RS/H150,PC,VIJAIPUR,2591.07,184
GAIL000377,TVS - BOLT - HEX - M16X2.0 - 120MM LG - GRADE 4.6 - SS316 - HDG,PC,VIJAIPUR,72.50,496
GAIL000904,3M - HELMET - SAFETY - CLASS A - ABS - RATCHET - 2-POINT - VENTED - PEAK - IS2925 - RED,PC,VIJAIPUR,493.30,736
GAIL001321,FLOWSERVE - VALVE - GATE - 250NB - CLASS 300 - CS - FLANGED - 51.1 BAR - 250 C - FLO-GV02322,PC,VIJAIPUR,87913.86,571
GAIL002798,BDK - VALVE - GATE - 80NB - CLASS 900 - WCB - FLANGED - 153.2 BAR - 400 C,PC,PATA,68769.70,549
GAIL001559,LT - VALVE - GATE - 200NB - CLASS 900 - SS316 - FLAGNED - 153.2 BAR - 400 C,PC,PATA,182292.93,455
GAIL002829,"GARLOCK - GASKET - SPIRAL WOUND - 20NB - CLASS 300 - SS304-PTFE - 7.5MM THK - 650 C, BOX OF 50",BOX,PATA,5973.50,644
GAIL001270,GARLOCK - गैसकेट - SPIRAL WOUND - 25NB - CLASS 300 - CAF - 4.5MM THK - 450 C - GAR-SW00408,PC,PATA,159.38,578
GAIL001773,FISHER - CHEMICAL - ACETONE - GR GRADE - 10 PCT - FIS-CH00061,PC,VIJAIPUR,3787.02,560
GAIL000209,FLOWSERVE - वाल्व - GATE - 200NB - CLASS 600 - SS316 - BUTTWELD - 102.1 BAR - 200 C,PC,VIJAIPUR,164334.91,336
GAIL001377,JINDAL - PIPE - SEAMLESS - 300NB - XS - CS-A106B - 60.0 BAR,PC,VIJAIPUR,5574.27,526
GAIL002059,POLYCAB - CABLE - POWER - 2C X 35.0 SQMM - ALUMINIUM - PVC - 11000V - 70 C - POL-PW00881 - BARCODE 8903791482470,PC,VIJAIPUR,1537.50,56
GAIL002328,3M - HELMET - SAFETY - CLASS A - HDPE - RATCHET - 2-POINT - NON-VENTED - PEAK - IS2925 - WHITE,PC,PATA,652.13,523
GAIL002917,NSK - BEARING - BALL - 12MM BORE - 37MM OD - 12MM W - ZZ - 250 KG - 120 C - EAN 8904661772844,PC,PATA,340.96,398
GAIL001922,THERMO - CHEMICAL - OXALIC ACID - TECH GRADE - 20 PCT - THE-CH00190,PC,VIJAIPUR,4269.79,174
GAIL002292,KEI - CALBE - POWER - 2C X 95.0 SQMM - ALUMINIUM - PVC - 650V - 70 C,PC,VIJAIPUR,3513.47,433
GAIL001541,ISMT - PIPE - SEAMLESS - 50NB - SCH40 - CS-A53 - 20.0 BAR,PC,VIJAIPUR,693.88,367
GAIL001506,NTN - BEARING - BALL - 6302 - OPEN - 720 KG - 100 C,PC,VIJAIPUR,634.14,5
GAIL000254,SKF - बेयरिंग - BALL - 20MM BORE - 52MM OD - 15MM W - OPEN - 400 KG - 100 C - 6304/S100 - 8909260478203,PC,VIJAIPUR,853.97,304
GAIL000157,POLYCAB - CABLE - POWER - 3C X 120.0 SQMM - ALUMINIUM - XLPE - 650V - 70 C - POL-PW00252,PC,VIJAIPUR,4513.60,699
GAIL002101,ISMT - PIPE - SEAMLESS - 20NB - XS - SS316 - 100.0 BAR - ISM-SP000967,PC,VIJAIPUR,210.70,314
GAIL002214,LEADER - GASKET - SPIRAL WOUND - 40NB - CLASS 900 - SS316-PTFE - 3.0MM THK - 550 C - LEA-SW01054,PC,PATA,280.74,797
GAIL002022,KARAM - HELMET - SAFETY - CLASS E - FRP - PINLOCK - 4-POINT - NON-VENTED - PEAK - EN397 - YELLOW - KAR-HL00383,PC,VIJAIPUR,189.47,491
GAIL000093,GARLOCK - GASKET - SPIRAL WOUND - 200NB - CLASS 150 - SS316-PTFE - 3.0MM THK - 550 C - GAR-SW01019,PC,VIJAIPUR,2006.66,514
GAIL000837,CHAMPION - GASKET - SPIRAL WOUND - 65NB - CLASS 300 - SS304-PTFE - 6.0MM THK - 450 C - CHA-SW00524,PC,PATA,421.11,427
GAIL000533,LEADER - GASKET - SPIRAL WOUND - 100NB - CLASS 150 - SS304-PTFE - 4.5MM THK - 550 C - LEA-SW01184 - BARCODE 8904766692535,PC,VIJAIPUR,1122.53,103
GAIL001222,KITZ - VALVE - GATE - 50NB - CLASS 600 - WCB - FLANGED - 102.1 BAR - 200 C - KIT GV01153,PC,VIJAIPUR,37697.32,162
GAIL000338,KEI - CABLE - POWER - 4C X 6.0 SQMM - COPPER - XLPE - 650V - 90 C,PC,VIJAIPUR,336.16,412
GAIL000110,FLOWSERVE - VLAVE - GATE - 150NB - CLASS 600 - CI - FLANGED - 102.1 BAR - 250 C - FLO-GV02502,PC,VIJAIPUR,162251.05,71
GAIL001904,KITZ - VALVE - GATE - 65NB - CLASS 150 - WCB - SOCKETWELD - 19.6 BAR - 250 C - KIT-GV03086,PC,PATA,12994.94,34
GAIL000360,POLYCAB - केबल - POWER - 2C X 35.0 SQMM - ALUMINIUM - PVC - 650V - 90 C - POL-PW01141 - 8903983166669,PC,VIJAIPUR,880.12,8
GAIL002901,SKF - BEARING - BALL - 65MM BORE - 120MM OD - 23MM W - ZZ - 1300 KG - 150 C - 6213-2Z/S150,PC,PATA,1971.62,70
GAIL000357,LT - VALVE - GATE - 300NB - CLASS 600 - SS316 - SOCKETWELD - 102.1 BAR - 250 C,PC,VIJAIPUR,263662.23,690
GAIL000241,MERCK - CHEMICAL - PHOSPHORIC ACID - AR GRADE - 40 PCT,PC,PATA,711.69,445
GAIL002454,3M - HELMET - SAFETY - CLASS A - ABS - PINLOCK - 2-POINT - NON-VENTED - PEAK - EN397 - YELLOW - 3M-HL00324,PC,VIJAIPUR,274.08,126
GAIL000146,LEADER - GASKET - SPIRAL WOUND - 20NB - CLASS 300 - SS304-PTFE - 7.5MM THK - 550 C - GTIN 8903499006732,PC,VIJAIPUR,126.28,96
GAIL000123,KSB - VAVLE - GATE - 50NB - CLASS 900 - CI - SOCKETWELD - 157.8 BAR - 150 C - KSB-GV01111,PC,VIJAIPUR,64623.88,155
GAIL000189,AUDCO - वाल्व - GATE - 200NB - CLASS 150 - WCB - SOCKETWELD - 19.6 BAR - 250 C - AUDGV03091,PC,PATA,46884.53,786
GAIL000771,TIMKEN - BEARING - BALL - 6320 - 2RS - 2000 KG - 150 C - 6320-2RS/S150,PC,PATA,1930.12,369
GAIL002028,APL - बोल्ट - HEX - M8X1.25 - 40MM LG - GRADE 10.9 - CS - HDG - APL-HB00217,PC,VIJAIPUR,24.11,578
GAIL000136,MERCK - CHEMICAL - POTASSIUM PERMANGANATE - AR GRADE - 85 PCT - MER-CH00619,PC,VIJAIPUR,1679.97,796
GAIL000629,MSL - PIPE - SEAMLESS - 50NB - SCH20 - CS-A53 - 160.0 BAR - GTIN 8900681118532,PC,PATA,783.72,655
GAIL001907,"MERCK - CHEMICAL - HEXANE - GR GRADE - 20 PCT - 8902950240258, BOX OF 10",BOX,PATA,16492.70,424
GAIL001809,SUNDRAM - BOLT - HEX - M20X2.5 - 20MM LG - GRADE 4.6 - CS - PLAIN - SUN-HB00005,PC,VIJAIPUR,11.68,430
GAIL002688,KOYO - BEARING - BALL - 17MM BORE - 35MM OD - 10MM W - OPEN - 560 KG - 100 C,PC,VIJAIPUR,484.24,588
GAIL001718,LEADER - GASKET - SPIRAL WOUND - 100NB - CLASS 150 - SS316-GRAPHITE - 4.5MM THK - 550 C - LEA-SW01128 - GTIN 8902608409808,PC,VIJAIPUR,877.16,794
GAIL001316,ISMT - PIPE - SEAMLESS - 32NB - XS - CS-A106B - 60.0 BAR,PC,VIJAIPUR,284.05,311
GAIL002431,GARLOCK - GASKET - SPIRAL WOUND - 20NB - CLASS 150 - SS316-GRAPHITE - 7.5MM THK - 550 C - GAR-SW01569 - EAN 8904604011290,PC,PATA,160.65,235
GAIL000324,JINDAL - PIPE - SEAMLESS - 15NB - SCH160 - SS304 - 160.0 BAR,PC,PATA,175.92,83
GAIL002568,KSB - वल्व - GATE - 65NB - CLASS 300 - CI - THREADED - 51.1 BAR - 200 C - KSB-GV01644 - BARCODE 8905968140725,PC,VIJAIPUR,24330.67,435
GAIL001941,VENUS - HELMET - SAFETY - CLASS A - HDPE - PINLOCK - 2-POINT - VENTED - PEAK - IS2925 - GREEN - VEN-HL00216 - EAN 8908296065616,PC,VIJAIPUR,272.46,637
GAIL001199,CHAMPION - GASKET - SPIRAL WOUND - 20NB - CLASS 150 - SS316-GRAPHITE - 3.0MM THK - 650 C - CHA-SW01793,PC,PATA,60.73,684
GAIL002088,THERMO - CHEMICAL - SODIUM SULPHATE - AR GRADE - 70 PCT - THE-CH00522,PC,PATA,3526.18,518
GAIL000627,APL - बोल्ट - HEX - M30X3.5 - 60MM LG - GRADE 10.9 - SS316 - ZINC - APL-HB00623,PC,VIJAIPUR,79.03,647
